COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
4.86221 0.962934 21328.2 1524.57 -0.337064 
4.95535 0.965497 21193.6 1601.3 -0.324464 
3.715 0.92263 30647.2 1553.09 -0.447706 
4.03435 0.945344 30882.5 1840.2 -0.487653 
5.5714 0.938008 34044.7 2378.25 -0.347731 
6.03472 0.95334 34750.9 2604.06 -0.334671 
6.45537 0.962968 35560.1 2761.29 -0.347834 
4.78447 0.913601 55531.9 3051.28 -0.46929 
6.78247 0.914786 63494.2 4156.43 -0.365548 
7.92188 0.93306 67306.5 4955.35 -0.367956 
6.45144 0.973912 58854.2 4811.01 -0.412837 
7.16574 0.967028 61786 5085.42 -0.40761 
PDF: Cut Value 0 and TKR Plane 6
0.410301 0.983185 126.723 22.8867 -0.350965 
2.9278e-10 0.993486 129.99 22.0819 -0.412828 
1.84282e-10 0.97824 133.586 20.3952 -0.44938 
1.45541e-10 0.973875 135.162 20.397 -0.438537 
2.47362e-10 0.962486 137.39 20.1049 -0.504035 
0.516092 0.983678 212.137 27.5277 -0.433473 
0.822623 0.967944 216.524 26.4542 -0.391251 
1.84619e-09 0.968346 216.299 25.3029 -0.448124 
1.84619e-09 0.959437 218.605 24.6423 -0.448464 
0.237708 0.937137 221.936 24.5224 -0.474717 
0.350056 0.981284 382.142 35.7783 -0.447556 
1.84619e-09 0.983642 380.58 35.125 -0.431357 
0.297891 0.965559 387.284 33.3057 -0.466696 
0.192605 0.949575 384.553 33.5247 -0.398102 
0.100229 0.938509 384.896 34.9213 -0.453692 
0.568026 0.977216 723.364 52.4404 -0.365419 
0.532632 0.973115 725.011 52.4955 -0.399419 
0.640241 0.961851 727.816 51.747 -0.396292 
0.623004 0.965715 727.749 52.2239 -0.438063 
0.856609 0.945364 731.213 56.5191 -0.401771 
0.501856 0.960092 806.543 54.3042 -0.345972 
0.926363 0.972204 822.349 56.2721 -0.413608 
0.7017 0.968461 815.015 56.3737 -0.4462 
0.816594 0.954181 815.342 58.7409 -0.393259 
0.684535 0.955803 809.032 60.4674 -0.44035 
0.813876 0.968079 1672.92 91.2532 -0.357826 
0.933411 0.970803 1672.32 98.1346 -0.376507 
1.17394 0.969413 1684.71 103.871 -0.389525 
1.30391 0.974133 1688.77 109.9 -0.419707 
1.45026 0.957122 1690.36 118.374 -0.371355 
1.39798 0.977296 2609.64 131.446 -0.394904 
1.11939 0.965117 2538.81 137.886 -0.375367 
1.29317 0.967934 2534.25 153.033 -0.385972 
1.52617 0.970618 2547.65 165.74 -0.373813 
