COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: TKR Hits Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 48 #Parameters: 5
AXES:
2
2.12699 0.943916 873.106 95.9614 -0.418922
1.15753 0.896689 772.536 72.747 -0.365439
1.38665 0.910709 821.646 68.4565 -0.52461
1.88183 0.940319 941.063 98.0846 -0.470971
1.72095 0.95334 917.793 96.3503 -0.570265
1.43269 0.901634 884.16 85.8163 -0.480653
0.843224 0.922533 830.464 76.1829 -0.476349
1.34067 0.890568 893.209 71.6278 -0.483152
4.00567 0.955149 1976.11 253.265 -0.386013
3.3765 0.968566 1887.58 228.44 -0.562443
2.26764 0.955885 1765.11 174.423 -0.631998
0.666782 0.937813 1567.03 138.838 -0.475144
1.07267 0.940476 1622.73 131.283 -0.425255
2.20505 0.97032 2499 322.932 -0.578353
4.16893 0.945413 2716.81 346.081 -0.512442
2.8297 0.953858 2569.15 276.081 -0.56156
0.543356 0.947346 2283.12 205.795 -0.46829
2.53281 0.926425 2498.95 211.016 -0.284539
PDF: Cut Value 0 and TKR Plane 10
0.911395 0.91776 81.9474 11.4282 -0.00970654
0.919079 0.933328 81.7704 11.8705 0.0201538
0.94658 0.938775 83.3373 11.9919 -0.0208222
0.92458 0.946381 81.1456 12.0807 -0.0144405
1.02416 0.934686 89.1118 12.233 -0.00691578
0.922868 0.951232 89.7454 13.2088 -0.0155558
0.935806 0.953111 90.4934 13.2208 -0.0406531
1.04386 0.938556 98.5161 14.5134 -0.0723618
1.22109 0.940509 111.623 16.6307 -0.0524668
1.1784 0.934189 107.749 15.3374 0.00882854
1.24044 0.930973 147.026 20.5219 -0.0351856
1.36764 0.919365 156.577 21.1019 -0.0650209
1.46597 0.938384 164.898 23.3647 -0.149302
1.54403 0.954211 170.89 26.3984 -0.217695
1.82616 0.918282 195.615 28.0047 -0.157078
1.3089 0.961402 238.124 30.2139 -0.274506
1.58048 0.958554 259.117 35.7458 -0.196887
1.94522 0.960871 288.267 41.2662 -0.217186
2.13359 0.95903 302.267 46.7033 -0.222046
1.99087 0.954211 300.99 42.5885 -0.373547
1.43283 0.936286 328.566 39.4105 -0.230907
1.73202 0.9427 356.759 45.5877 -0.271303
1.76581 0.942865 357.393 47.9303 -0.310959
1.88018 0.946897 367.729 50.9852 -0.330701
1.74373 0.918882 367.157 45.4338 -0.480348
1.24352 0.946272 469.67 52.8785 -0.375708
1.59842 0.941982 506.502 57.7528 -0.373888
1.95257 0.924883 536.8 62.9549 -0.318304
1.27112 0.939682 477.043 55.7753 -0.481039
1.51278 0.870008 512.603 50.5538 -0.448763
2.04405 0.952112 884.128 98.7091 -0.368441
2.01768 0.948087 874.72 97.0534 -0.467738
2.11032 0.947895 884.935 94.7957 -0.502756
0.91868 0.928663 761.18 75.3628 -0.507854
1.38404 0.882317 824.864 67.9007 -0.469958
2.04267 0.928757 962.156 100.757 -0.382225
1.94155 0.933598 947.511 99.6055 -0.488807
2.72352 0.910937 1019.19 113.37 -0.32969
0.563362 0.902197 794.913 75.5324 -0.439436
1.43893 0.8881 909.137 74.4469 -0.469693
3.89415 0.948297 1973.33 250.304 -0.346415
3.22133 0.96269 1890.38 225.965 -0.541959
1.25222 0.957838 1655.95 158.408 -0.667117
1.3195 0.944459 1647.44 149.128 -0.476361
1.83162 0.932636 1708.54 147.304 -0.385149
4.77238 0.952053 2831.42 400.78 -0.366594
4.57972 0.962224 2843.08 356.073 -0.613002
3.15746 0.924702 2620.37 267.071 -0.549639
0.630854 0.941663 2292.76 204.528 -0.463656
1.7126 0.945541 2429.36 207.598 -0.40157
PDF: Cut Value 0 and TKR Plane 11
0.806653 0.934641 74.526 10.9563 0.0446504
0.85944 0.915208 79.1989 11.2229 -0.0398722
0.780555 0.952258 72.3518 10.835 -0.0388653
0.920402 0.948664 83.1682 12.4724 -0.0802988
0.957461 0.94629 86.7138 12.1229 -0.0618196
0.942413 0.934755 93.1377 13.2591 -0.0222406
0.951834 0.941652 94.4734 13.6348 -0.0738934
0.920148 0.953825 91.1218 13.6471 -0.117527
1.03919 0.955513 100.123 15.4206 -0.118852
0.974417 0.948662 94.9522 13.867 -0.0687124
1.15594 0.945113 142.398 20.0841 -0.0757578
1.3307 0.927448 157.23 22.0457 -0.0729923
1.34734 0.938449 156.835 22.8847 -0.0911734
